q_4	xxx	B.1	0
q_55	xxx	B.10	0
q_71	xxx	B.11	0
q_73	xxx	B.12	0
q_76	xxx	B.13	0
q_77	xxx	B.14	0
q_82	xxx	B.15	0
q_92	xxx	B.16	0
q_97	xxx	B.17	0
q_111	xxx	B.18	0
q_9	xxx	B.2	0
q_130	xxx	B.20	0
q_136	xxx	B.21	0
q_172	xxx	B.24	0
q_199	xxx	B.25	0
q_205	xxx	B.26	0
q_207	xxx	B.27	0
q_213	xxx	B.28	0
q_238	xxx	B.29	0
q_13	xxx	B.3	0
q_245	xxx	B.30	0
q_262	xxx	B.32	0
q_267	xxx	B.33	0
q_278	xxx	B.34	0
q_290	xxx	B.35	0
q_294	xxx	B.36	0
q_305	xxx	B.37	0
q_319	xxx	B.38	0
q_22	xxx	B.4	0
q_329	xxx	B.40	0
q_336	xxx	B.41	0
q_340	xxx	B.43	0
q_351	xxx	B.44	0
q_362	xxx	B.45	0
q_370	xxx	B.46	0
q_402	xxx	B.47	0
q_427	xxx	B.48	0
q_459	xxx	B.50	0
q_472	xxx	B.51	0
q_479	xxx	B.52	0
q_501	xxx	B.53	0
q_503	xxx	B.54	0
q_504	xxx	B.55	0
q_510	xxx	B.56	0
q_514	xxx	B.57	0
q_525	xxx	B.58	0
q_528	xxx	B.59	0
q_25	xxx	B.6	0
q_535	xxx	B.60	0
q_561	xxx	B.62	0
q_569	xxx	B.63	0
q_574	xxx	B.64	0
q_604	xxx	B.65	0
q_612	xxx	B.66	0
q_616	xxx	B.67	0
q_620	xxx	B.68	0
q_637	xxx	B.69	0
q_643	xxx	B.70	0
q_646	xxx	B.71	0
q_663	xxx	B.73	0
q_690	xxx	B.74	0
q_698	xxx	B.75	0
q_707	xxx	B.76	0
q_727	xxx	B.77	0
q_739	xxx	B.79	0
q_49	xxx	B.8	0
q_743	xxx	B.80	0
q_754	xxx	B.81	0
q_807	xxx	B.82	0
q_819	xxx	B.83	0
q_825	xxx	B.84	0
q_840	xxx	B.85	0
q_849	xxx	B.86	0
q_854	xxx	B.87	0
q_883	xxx	B.88	0
q_884	xxx	B.89	0
q_52	xxx	B.9	0
q_894	xxx	B.90	0
q_931	xxx	B.92	0
q_940	xxx	B.93	0
q_944	xxx	B.94	0
q_954	xxx	B.95	0
q_977	xxx	B.96	0
q_997	xxx	B.97	0
q_1010	xxx	B.98	0
